STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,Valleilijn,3526,3143,1804,1398,1293,995
Barneveld Centrum,Valleilijn,1503,1438,665,559,370,312
Barneveld Noord,Valleilijn,452,435,138,124,99,73
Barneveld Zuid,Valleilijn,330,318,114,108,61,56
Delden,TZUHO,226,94,138,58,74,34
Ede Centrum,Valleilijn,525,488,420,403,207,189
Ede-Wageningen,Valleilijn,1362,1229,779,635,502,532
Goor,TZUHO,563,239,227,115,129,75
Hengelo,TZUHO,798,1300,306,573,230,522
Hengelo Gezondheidspark,TZUHO,107,75,37,28,20,22
Hengelo Oost,TZUHO,48,117,32,71,19,52
Hoevelaken,Valleilijn,575,561,204,209,141,119
Lochem,TZUHO,168,326,74,165,64,116
Lunteren,Valleilijn,402,380,324,256,161,122
Oldenzaal,TZUHO,950,860,427,338,413,235
Zutphen,TZUHO,1291,1224,805,720,696,750
