STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,AEW,2719,2604,1108,1031,706,643
Barneveld Centrum,AEW,1452,1373,565,473,285,236
Barneveld Noord,AEW,522,492,171,157,116,81
Barneveld Zuid,AEW,191,189,61,59,29,30
Ede Centrum,AEW,523,480,376,355,148,138
Ede-Wageningen,AEW,1404,1234,650,509,382,390
Hoevelaken,AEW,498,482,173,176,113,96
Lunteren,AEW,394,361,298,237,133,97
Delden,TZUHO,325,306,217,170,159,97
Goor,TZUHO,774,728,334,281,282,160
Hengelo,TZUHO,2185,2169,1138,1044,765,901
Hengelo Gezondheidspark,TZUHO,170,160,62,53,49,41
Hengelo Oost,TZUHO,176,140,135,94,95,69
Lochem,TZUHO,520,492,252,226,246,156
Oldenzaal,TZUHO,907,828,485,378,464,272
Zutphen,TZUHO,1308,1220,801,749,651,744
